Tanggal	Ranking	Episode	Deskripsi	Penerbit	Bahasa	Rilis
2024-09-02	18	Cerita Penjegalan Anies Baswedan	Sempat menguat sebagai calon Gubernur Jakarta, Anies Baswedan gagal mendapat tiket. Partai Demokrasi Indonesia Perjuangan akhirnya mengusung Pramono Anung-Rano Karno setelah mendapat tekanan dari operator politik Istana Presiden. Bocor Alus edisi ini juga mengulas soal pertarungan di daerah kunci seperti Pilkada Banten, Jawa Barat, Jawa Tengah.  ——— Dukung jurnalisme independen Tempo dengan berlangganan lewat s.id/enakdibaca⁠. Unduh aplikasi Tempo untuk membaca berbagai liputan mendalam Tempo. 	Podcast Tempo Media	Bahasa Indonesia	2024-08-31
2024-09-02	19	572 IBU KENAPA AKU DIBUN*H?? SUMPAH GAK TEGA DENGERIN KISAH INI 😭	Berawal dari membantu temannya yang sedang kesusahan, Rina yang kemudian mendapati temannya ternyata sedang berusaha untuk menggugurkan janinnya. Setelahnya, banyak hal aneh terjadi yang di alaminya. Bagaimana kisah selengkapnya? Simak video berikut, jangan lupa berikan like dan komentarnya  Copyright 2024, Lentera Malam    ---   Support this podcast: https://podcasters.spotify.com/pod/show/lentera-malam8/support	Lentera Malam	Bahasa Indonesia	2024-08-29
2024-09-02	21	EPS #75 LEONNY, DIMANA ORANG TUA KU?? 	Dari kecil tak pernah mendapat pelukan dari orang tuanya. biar gak penasaran dengerin full nya.	podcast exit	Bahasa Indonesia	2024-08-23
2024-09-02	22	Uan & Denis Suka Nongkrong Bareng Pemain Persib	Bantu sawerannya ya paranoice tiap kali Uan lagi live… Song List:27:49 Adrian Khalif, Juicy Luicy - Sialan34:46 Juicy Luicy - Segala-galanya57:00 Juicy Luicy - Lampu Kuning   Dengarkan episode lainnya dari Podcast BERIZIK di aplikasi NOICE. Download NOICE di sini!	Awwe &amp; Randhika Djamil	Bahasa Indonesia	2024-08-23
2024-09-02	23	663. Siap-siap Nabung Buat Akhir Tahun!	Mending nabung dari sekarang deh, daripada nantinya nyesel ga bisa memiliki sesuatu yang kami buat bareng WD Willy di akhir tahun👀  Support Podcast Ancur melalui link saweria berikut 👉 https://saweria.co/podcastancur (link ada di bio instagram ⁠@podcastancur⁠). Kirim 50k bakal dibacain pesannya, kirim 250k buat yang mau ditelepon on air, 1000k buat yang mau dateng ke studio dan 5000k datengin kita ke lokasi kalian!	Patra, Diaz, Dhika	Bahasa Indonesia	2024-08-29
2024-09-02	24	EPS 480 - AIR PUTIH CAMPUR SOJU FEAT SESILIA WENAS	PERATURAN KHUSUS VOKALIS : MABOK BOLEH TAPI NANTI #MendoanDay	DONOTIAN	Bahasa Indonesia	2024-08-30
2024-09-02	25	#5 ADA SEKTE SETAN DI JAKSEL?!	Kisah horror nan misteri dari pengalaman dan sudut pandang pribadi narasumber. Jika kalian merinding, bukan tanggung jawab kami.   	Nexera Entertainment	Bahasa Indonesia	2024-08-15
2024-09-02	26	"Tetap Terlihat Baik-baik Aja Walaupun Dalam Hati ""Yaa Allah.. Yaa Allah"" | Season 7 Eps. 3 #LibatinAllah"	Yuk support kawasan pendidikan Pesan_Trend dan Program Dakwah ustadz Hanan Attaki lainnya. Buka website Pemuda Hijrah untuk informasi lebih lengkapnya. Official Account of Hanan Attaki | Managed by Shift Media Studio. For business inquiries please contact: 08971556543 (Dikha).. IG: ⁠https://www.instagram.com/hanan_attaki/⁠  TikTok: ⁠https://www.tiktok.com/@hanan_attaki_ 	Hanan Attaki	Bahasa Indonesia	2024-07-28
2024-09-02	27	Rumah Yang Yahud! Ft. Nopek Novian	Di usia begini paling enak mengkhayal soal rumah nih! Coba dong dengerin episode ini bareng Gus Nopek!	Podcast Ampat	Bahasa Indonesia	2024-08-29
2024-09-02	28	SutraDarto Menunjukan Dagunya, Eh Pesonanya Maksudnya	S12E02 Masyarakat sehat, saatnya life update bapaks-bapaks ini nih, Darto si banyak gaya ini jadi sutradara ges di project filmnya, dan Nggok yang sekarang punya hobi baru #AnggaRun azeg keren bener Si EO kitah	Podkesmas Asia 	Bahasa Indonesia	2024-08-22
2024-09-02	29	Yang Lagi Pegel-Pegel, Denger Ini!	Raditya Dika ngobrol bareng dr. Sandra Langow SpPD-KR, Seorang Dokter Reumatologi.   Episode kali ini Raditya Dika dan dr. Sandra membahas tentang penyakit atau kelainan pada sendi, reumatik dan juga autoimun.  	Raditya Dika	Bahasa Indonesia	2024-08-29
2024-09-02	30	661. Outing Keluarga Podcast Ancur	Tiba-tiba kepikiran, kayaknya seru juga nih kalo Podcast Ancur outing sekantor bawa keluarga masing-masing. Tapi kalo dipikir-pikir lagi, susah juga nih realisasiinnya😂Support Podcast Ancur melalui link saweria berikut 👉 https://saweria.co/podcastancur (link ada di bio instagram ⁠@podcastancur⁠). Kirim 50k bakal dibacain pesannya, kirim 250k buat yang mau ditelepon on air, 1000k buat yang mau dateng ke studio dan 5000k datengin kita ke lokasi kalian!	Patra, Diaz, Dhika	Bahasa Indonesia	2024-08-25
2024-09-02	31	KKN #8 - GJLS Dicurigai Istri Karena Auto Connect Wifi Spa?!	Sekarang mahasiswa/mahasiswi gak perlu takut lagi kalau mau bimbingan, karena dosennya secantik Nikita Mirzani dan asdosnya selucu Dicky Difie!  	Nexera Entertainment	Bahasa Indonesia	2024-08-26
2024-09-02	32	Agak Laen! Versi: Pengumuman	S4E32. Ada pengumuman penting dari para ketua. Selamat mendengarkan, mauliate!	Agak Laen	Bahasa Indonesia	2024-08-17
2024-09-02	33	Eps 410 - Kangen sih, tapi kalo harus ngechat lagi ga dulu deh	kangen boleh, ngechat jangan	helobagas	Bahasa Indonesia	2024-08-31
2024-09-02	34	Al Matsurat Dzikir Pagi 	Dzikir Al Matsurat Pagi versi Radio MQFM	Fadhilah Aunillah	Bahasa Indonesia	2020-04-05
2024-09-02	35	AYAT KURSI 100X 	AYAT KURSI 100X 	Alquran daily	Arabic	2020-06-11
2024-09-02	36	194. Hantu JURKON Meneror Para Santriwati Di Pesantren!	"JURKON SERING MENEROR SANTRIWATI DI PESANTREN??  JURKON??? JURIG KON***?  ""Jurig"" dalam bahasa Sunda yang berarti hantu, ""Kon"" adalah sebutan nyentrik untuk kelamin pria... Kok ada hantu kayak gini ya? Lucunya lagi ada di sebuah pesantren yang terdapat di daerah Jawa Barat.  Sosok ini digambarkan dengan besar muka rata, kuping lancip, tidak memakai baju dan anunya keleweran sampai ke lantai.  Penasaran?"	Podcast Horror Tragedy	Bahasa Indonesia	2024-08-30
2024-09-02	37	 AYAT SERIBU DINAR (PEMBUKA DAN PENARIK REZEKI)	27- AYAT SERIBU DINAR (PEMBUKA DAN PENARIK REZEKI)	Bersama kita Istiqomah	Bahasa Indonesia	2020-09-30
2024-09-02	38	Agak Laen! Versi: Kartu As	S4E31. Mau pada bongkar rahasia ah di episode ini. Kita tengok cerita siapa yang paling mencengangkan, selamat menikmati!	Agak Laen	Bahasa Indonesia	2024-08-10
2024-09-02	39	Bedah Chapter 1123 “Elbaf! Arc yang ditunggu!! Wuhuuuuuu!!!”	IMPIAN USOPP DI DEPAN MATAAA!!!  Dengarkan episode lainnya dari Podcast Romance Dawn di aplikasi NOICE. Download NOICE ⁠⁠⁠⁠⁠⁠⁠⁠⁠di sini!  Song List: 1. Ado - Mirror 2. Home Made Kazoku - Shooting Star	NOICE	Bahasa Indonesia	2024-08-22
2024-09-02	40	Sporty yang Kau Minta Ft. Rio Dumatubun	Bersama Rio Dumatubun kita ngomongin biliar dan olahraga lainnya	Podcast Ampat	Bahasa Indonesia	2024-08-22
2024-09-02	41	Pengintai Rumah Panggung | #1348	Cerita dari Pay	INDONESIAN HORROR STORIES	Bahasa Indonesia	2024-08-30
2024-09-02	42	#268 Mokondo: Modal Kondom Mic Doang	Kita sebagai podcaster bisa dibilag mokondo, soalnya studio juga masih nyewa.	BKR Brothers	Bahasa Indonesia	2024-08-26
2024-09-02	43	Eps. 543 - Lestari Binti Ngadiman	Jangan lupa, besok PMK Uncensored mulai tayang! Cek di bit.ly/pmkuncensored ya. Selamat mendengarkan, tabik!	Podkesmas Asia	Bahasa Indonesia	2024-08-25
2024-09-02	44	288. NGEPOT XXI: DORAEMON BANTU DEH!	Jika boleh ku meminta 1 hal yang tak mungkin ada di dunia ini, Doraemon jawabannya so pasti. Seperangkat alat ajaib yang dahsyat dan bermanfaat membuatku sangat iri pada Nobita. AKU MAU SATUUUUU!!! Di Ngehe on The Spot kali ini, kami akan membedah 1 alat yang akan keluar dari kantong Doraemon. Jika ada di dunia nyata, akankah mengubah realita? Bagikan pada kami kira-kira alat Doraemon apa yang kamu ingin miliki via IG story dan mention @_rapot .	RezaAnkaRadhiniAbigail Potkes 	Bahasa Indonesia	2024-08-28
2024-09-02	45	Siap Salah Kak	Senior macak sangar lan macak galak adalah ramashok, wayahe ospek penuh cinta. ❤️ ________ Support Mandan Kenthir: ⁠https://saweria.co/podcastmandankenthir⁠	Mandan Kenthir	Bahasa Indonesia	2024-08-26
2024-09-02	46	Cara Pintar Dapat Jodoh	Raditya Dika ngobrol bareng Henry Manampiring, seorang penulis buku berjudul Belajar Marketing, Belajar Hidup.  Episode kali ini membahas Marketing, Asmara hingga cara menemukan jodoh.   	Raditya Dika	Bahasa Indonesia	2024-08-19
2024-09-02	47	NAIK GUNUNG APA UJI NYALI !! PENGAKUAN FULL HOROR MELANGGAR TITAH KUNCEN GUNUNG ARJUNO	NAIK GUNUNG APA UJI NYALI !! PENGAKUAN FULL HOROR MELANGGAR TITAH KUNCEN GUNUNG ARJUNO  Jangan lupa follow kami di :  Instagram : @Besokpagi.adv https://www.instagram.com/besokpagi.adv/ Tiktok : @Besokpagi.adv https://www.tiktok.com/@besokpagi.adv Spotify : Besok Pagi (Podcast Pendakian Horor) https://open.spotify.com/show/2uUzEzgKAAmwrbNAspmKjh   Untuk update video terbaru bisa cek di : Youtube : Besok Pagi https://www.youtube.com/@BESOKPAGICH   Copyright 2024, Besok Pagi Channel  Powered by Firstory Hosting	Besok Pagi 	Bahasa Indonesia	2024-08-31
2024-09-02	48	Agak Laen! Versi: FOMO	S4E29. Emang kelen aja yang bisa FOMO, ketua-ketua ini pun bisa. Selamat menikmati, mauliate!	Agak Laen	Bahasa Indonesia	2024-07-27
2024-09-02	49	EPS 479 - PIRINGITIN DIRIRIT	SING ENTENG-ENTENG AEEEE #MendoanDay	DONOTIAN	Bahasa Indonesia	2024-08-28
2024-09-02	50	Mantra Seumur Hidup	Ada wanita yg di teror sampai 10 Tahun karena berbuat baik sama seorang pria. Ternyata di saat orang udah cinta dan merasa harus dapetin apa yang dia mau, dan ketika usahanya gak berhasil, dia berani lakuin segala cara termasuk lewat Pelet. Part 1: Godaan Tante Muda Part 2: Aku Kena Pelet, Suami Disantet Part 3: Kecanduan Mantra Buat kamu yang punya cerita seram dan mau cerita nya dibawain di Scary Things bisa kirim cerita ke email kita di scarythings.indo@gmail.com  Dengerin episode lainnya dari Podcast Scary Things di Aplikasi NOICE. Download NOICE ⁠⁠⁠⁠⁠⁠⁠⁠⁠di sini!	NOICE	Bahasa Indonesia	2024-08-27
2024-09-02	51	capek-capek gini, aku masih nungguin	eh ternyata gak worth it buat ditunggu. 	Rintiksedu	Bahasa Indonesia	2024-08-23
2024-09-02	52	662. Podcast Ancur Punya Lapangan Tennis	Buat yang DM terus mau ikutan main tennis sama kita, ini saatnya!Podcast Ancur dikit lagi punya lapangan tennis!Support Podcast Ancur melalui link saweria berikut 👉 https://saweria.co/podcastancur (lppink ada di bio instagram ⁠@podcastancur⁠). Kirim 50k bakal dibacain pesannya, kirim 250k buat yang mau ditelepon on air, 1000k buat yang mau dateng ke studio dan 5000k datengin kita ke lokasi kalian!	Patra, Diaz, Dhika	Bahasa Indonesia	2024-08-27
2024-09-02	53	Eps 409 - Jangan pernah ketemu lagi ya	jangan pernah muncul lagi	helobagas	Bahasa Indonesia	2024-08-30
2024-09-02	54	DZIKIR MALAM SEBELUM TIDUR 	DZIKIR MALAM SEBELUM TIDUR 	Alquran daily	Arabic	2020-06-13
2024-09-02	55	Ustadz Gadungan | #1347	Cerita dari Naufal	INDONESIAN HORROR STORIES	Bahasa Indonesia	2024-08-29
2024-09-02	56	Allah Tau Hatimu Berantakan - Ust Hanan Attaki	Allah Tau Hatimu Berantakan  ---   Support this podcast: https://podcasters.spotify.com/pod/show/kh-anwar-zahid6/support	KH Anwar Zahid	Bahasa Indonesia	2021-05-18
2024-09-02	57	193. Kisah Dramatis Sopir Ambulans Mengantar Jenazah Ke Tegal	RITUAL CUCI AMBULANS PEMBAWA PENUMPANG😱  Aldi seorang pria yang memutuskan bekerja sebagai sopir ambulans dikarenakan ketertarikannya serta lingkungan sejak Ia kecil. Menurutnya profesi ini pun sangat mulia.  Selama belasan tahun Aldi sudah menjadi sopir ambulans, banyak suda duka yang Ia temui salah satunya kejadian-kejadian misterius ketika menyupir.  Penasaran semua ceritanya?	Podcast Horror Tragedy	Bahasa Indonesia	2024-08-28
2024-09-02	58	Dzikir Pagi - Muzammil Hasballah	Tuntunan Dzikir Pagi Lengkap	Kusumo Wardoyo Cahyo Nugroho	Bahasa Indonesia	2020-03-27
2024-09-02	59	Begal Konstitusi Demi Dinasti	Bocor Alus akan mengungkap berbagai pembegalan konstitusi dan demokrasi yang dilakukan untuk melanggengkan dinasti Jokowi.   Bocor Alus hadir dari Universitas Gadjah Mada, Yogyakarta, almamater Jokowi yang juga mengumandangkan perlawanan sengit. ——— Dukung jurnalisme independen Tempo dengan berlangganan lewat ⁠s.id/enakdibaca⁠. Unduh aplikasi Tempo untuk membaca berbagai liputan mendalam Tempo. 	Podcast Tempo Media	Bahasa Indonesia	2024-08-31
2024-09-02	60	Al Matsurat Dzikir Petang 	Dzikir Al Mastsurat Petang Versi Radio MQFM	Fadhilah Aunillah	Bahasa Indonesia	2020-04-05
2024-09-02	61	Dzikir Pagi oleh Syaikh Mishari Rashid Alafasy 	Dzikir pagi sesuai dengan sunnah nabi ﷺ. Dibacakan oleh Syaikh Mishari Rashid Alafasy dengan suaranya yang merdu.	falasik	Bahasa Indonesia	2020-11-07
2024-09-02	62	Dzikir Penenang Hati dan Pikiran yang Sedang Stress, Galau, dan Gelisah	Dzikir Penenang Hati dan Pikiran yang Sedang Stress, Galau, dan Gelisah  ---   Support this podcast: https://podcasters.spotify.com/pod/show/gasa-al-fajr/support	Ega Saputra	Bahasa Indonesia	2020-09-29
2024-09-02	63	PUISI KAGUM DIPERSEMBAHKAN UNTUK DIRIMU	Eps 391  Sebuah kekaguman puisi ini pun untuk dirimu GJLSER 	Podkesmas Asia 	Bahasa Indonesia	2024-08-02
2024-09-02	64	TURUN ATAU TAK KEMBALI !! 13 JAM DIKUASI JIN PENUNGGU GUNUNG! GW KASIH LIHAT BUKTINYA	TURUN ATAU TAK KEMBALI !! 13 JAM DIKUASI JIN PENUNGGU GUNUNG! GW KASIH LIHAT BUKTINYA  Jangan lupa follow kami di :  Instagram : @Besokpagi.adv https://www.instagram.com/besokpagi.adv/ Tiktok : @Besokpagi.adv https://www.tiktok.com/@besokpagi.adv Spotify : Besok Pagi (Podcast Pendakian Horor) https://open.spotify.com/show/2uUzEzgKAAmwrbNAspmKjh   Untuk update video terbaru bisa cek di : Youtube : Besok Pagi https://www.youtube.com/@BESOKPAGICH   Copyright 2024, Besok Pagi Channel  Powered by Firstory Hosting	Besok Pagi 	Bahasa Indonesia	2024-08-29
2024-09-02	65	DUNIA UMUM, DUNIA UNIVERSAL & KEJADIAN SEBENARNYA	Eps 390  Sebuah moodbooster dirimu itu Po, gaboleh ngeluh yah Po	Podkesmas Asia 	Bahasa Indonesia	2024-07-30
2024-09-02	66	Surat Al-Baqarah - Mishary Rashid Alafasy	Surat Al-Baqarah - Mishary Rashid Alafasy  ---   Support this podcast: https://podcasters.spotify.com/pod/show/danissasmito/support	DANISSASMITO	Bahasa Indonesia	2022-10-13
2024-09-02	67	Eps 957 - Raymond Chin: JOKOWI HRS TANGGUNG JAWAB‼️Gue punya harga dan nama buzzer nya! QODARI: NGACO LOE.. (Ft.M Qodari & Raymond Chin)	Close The Door Podcast bersama M Qodari & Raymond Chin	Deddy Corbuzier	Bahasa Indonesia	2024-08-27
2024-09-02	68	REUNI TEN HAG vs SLOT DI MAN UNITED vs LIVERPOOL | Box2Box Football Show #5	- Liverpool dapat Chiesa murah, Ugarte kapan ke MU? - Pertarungan lini tengah di North-West Derby  - PSR kebijakan blunder? - Mikel (Arteta) datangkan Mikel (Merino)  Kawal deadline day dan Man United vs Liverpool sambil dengerin episode kelima Box2Box Football, bersama Dex Glenniza, Jerry Arvino, Rossi Finza, dan Tio Utomo. Jangan lupa like, share, subscribe, dan kawal terus demokrasi Indonesia! 	Box2BoxID	Bahasa Indonesia	2024-08-30
2024-09-02	69	SHALAWAT JIBRIL 1000x	SHALAWAT JIBRIL 1000x	Alquran daily	Arabic	2020-12-15
2024-09-02	70	Juz 30 - Syaikh Mishary Alafasy 	Murottal Juz Amma Syaikh Mishary Alafasy Surah An Naba sampai An Nas	falasik	Bahasa Indonesia	2022-09-14
2024-09-02	71	S8E46: Peranku kini telah usai	Selamat mendengarkan dan selamat tidur! Kirim cerita: www.temantidur.id  Instagram: podcast.temantidur TikTok: podcast.temantidur  Salyra Perfume: https://shopee.co.id/salyra.perfume	Dera Firmansyah	Bahasa Indonesia	2024-08-31
2024-09-02	72	Episode Barasuara	Jalaran Sadrah, band keren, kaya semua, nomor orang terkenal.	Podkesmas Asia	Bahasa Indonesia	2024-08-21
2024-09-02	73	Dzikir Pagi | Syeikh Misyari Al Afasy	Dzikir Pagi | Syeikh Misyari Al Afasy	Abi-nya Umair	Bahasa Indonesia	2023-10-09
2024-09-02	74	Sah! Australia Punya Hak Abaikan Telepon dari Atasan di Luar Jam Kerja	Aturan ini bertujuan untuk melindungi pekerja dari kewajiban untuk selalu tersedia di luar jam kerja.   	Prambors Podcast	English (US)	2024-08-30
2024-09-02	75	Hampir Diculik Penghuni Pabrik | #1346	Cerita dari Warga Sukawedi	INDONESIAN HORROR STORIES	Bahasa Indonesia	2024-08-28
2024-09-02	76	Jomblo Pasti Seneng Episode Ini | Season 6 Eps. 3 #LibatinAllah	Yuk support kawasan pendidikan Pesan_Trend dan pembangunan Masjid Raheela. Buka website ⁠https://pemudahijrah.id/⁠ untuk informasi lebih lengkapnya. Official Account of Hanan Attaki | Managed by Shift Media Studio. For business inquiries please contact: 08971556543 (Dikha). . IG: ⁠https://www.instagram.com/hanan_attaki/⁠ TikTok: ⁠https://www.tiktok.com/@hanan_attaki  	Hanan Attaki	Bahasa Indonesia	2024-06-28
2024-09-02	77	"KISAH MISTIS MELAWAN TUKANG SIOMAY PELAKU PESUGIHAN GENDERUWO ""KAYA RAYA"" (EPS 356)"	Kesaksian Mas Dita mengalami kejadian mistis di tahun 2016 ketika dirinya berjualan bakso, nyaris seluruh pelanggan Uci (juragan siomay) berpaling dan memilih bakso milik Mas Dita. Hal tersebut membuat Uci geram dan melakukan berbagai cara untuk menjatuhkan usaha Mas Dita. Bahkan tidak tanggung-tanggung pesugihan jenis genderuwo pun dilakukan Uci.   Host : Mang Ei Narasumber : Mas Dita   Powered by Firstory Hosting	Malam Mencekam Podcast	Bahasa Indonesia	2024-08-30
2024-09-02	78	Kutukan Sang Dukun	PART I: Praktik Bejat  PART II: Tumbal 7 Orang  PART III: Balas Dendam Mantan  1 malam 3 cerita yang akan membuat malammu lebih panjang bersama Fadil Camui, Shahabi Sakri, dan Nadilla hanya di Scary Things Jangan lupa follow instagram @scarythings.indo untuk update episode terbaru.  Dengerin episode lainnya dari Podcast Scary Things di Aplikasi NOICE. Download NOICE ⁠⁠⁠⁠⁠⁠⁠⁠di sini!	NOICE	Bahasa Indonesia	2024-08-26
2024-09-02	79	Seperti Apa Koalisi Partai Politik dalam Pemilihan Anggota BPK 	Dewan Perwakilan Rakyat akan memilih lima anggota Badan Pemeriksa Keuangan pada 4 September 2024. Sampai dengan saat ini ada 74 kandidat yang akan menjalani uji kepatutan dan kelayakan oleh DPR. Dari seluruh kandidat tersebut, banyak nama politikus dan tokoh yang sempat terseret perkara hukum. Informasi yang diperoleh Tempo juga menyebut ada perkongsian sejumlah partai dalam meloloskan kandidat anggota BPK. Siapa mereka? ——— Dukung jurnalisme independen Tempo dengan berlangganan lewat s.id/tempoaja. Unduh aplikasi Tempo untuk membaca berbagai liputan mendalam Tempo.	Podcast Tempo Media	Bahasa Indonesia	2024-08-30
2024-09-02	80	Riztegh alergi susu, bonar asam lambung.	Eps.30 | jaga kesehatan kelen - kalo mau support bisa lewat sini : https://saweria.co/TaukoPodcast	Bonar Manalu, Rizky Teguh	Bahasa Indonesia	2024-09-01
2024-09-02	81	Eps.147 - Security Jaga Malam Rumah Mewah Berhantu Lebak Bulus	Malam ini Raden akan menceritakan pengalaman horor yang sangat mengerikan ketika ia mendapatkan pekerjaan baru menjadi seorang security untuk menjaga sebuah rumah mewah 4 lantai yang ada di daerah Lebak Bulus Jakarta Selatan, tak tanggung-tanggung.. ia bekerja disana hanya kuat satu bulan saja dan memutuskan untuk resign karena gangguan horror yang sangat tidak masuk akal disana, ia berfikir ketika keluar dari rumah tersebut harusnya sudah tidak ada gangguan yang dialaminya lagi, namun itu semua hanya permulaan.. gangguan gangguan horor mengerikan terus menghampirinya kemanapun ia pergi dan bahkan ketika ia memutuskan untuk mencertikan pengalaman ini di Lonceng Mystery, ia mendapatkan teror yang sangat tidak masuk akal.  Follow Instagram Kita : 👇 👇 https://www.instagram.com/loncengmystery  Powered by Firstory Hosting	Lonceng Mystery	Bahasa Indonesia	2024-08-25
